Nom,Type,Attribut,ATK,DEF,Niveau
Cubic Mandala,Trap Card,,,,
Cubic Rebirth,Trap Card,,,,
Cubic Wave,Spell Card,,,,
Cucumber Horse,Effect Monster,DARK,100,2000,8
Cunning of the Six Samurai,Spell Card,,,,
Cup of Ace,Spell Card,,,,
Cupid Dunk,Effect Monster,LIGHT,1800,600,4
Cupid Fore,Effect Monster,LIGHT,2200,600,6
Cupid Serve,Effect Monster,LIGHT,1000,600,2
Cupid Volley,Effect Monster,LIGHT,600,600,1
Cure Mermaid,Effect Monster,WATER,1500,800,4
Curse Necrofear,Effect Monster,DARK,2800,2200,8
Curse of Aging,Trap Card,,,,
Curse of Anubis,Trap Card,,,,
Curse of Aramatir,Spell Card,,,,
Curse of Darkness,Trap Card,,,,
Curse of Dragon,Normal Monster,DARK,2000,1500,5
"Curse of Dragon, the Cursed Dragon",Effect Monster,DARK,2000,1500,5
Curse of Dragonfire,Effect Monster,DARK,2000,1500,5
Curse of Fiend,Spell Card,,,,
Curse of Royal,Trap Card,,,,
Curse of the Circle,Trap Card,,,,
Curse of the Masked Beast,Spell Card,,,,
Curse of the Shadow Prison,Spell Card,,,,
Curse Reflection Doll,Spell Card,,,,
Cursed Armaments,Spell Card,,,,
Cursed Bamboo Sword,Spell Card,,,,
Cursed Bill,Spell Card,,,,
Cursed Eldland,Spell Card,,,,
Cursed Fig,Effect Monster,WATER,200,200,1
Cursed Fire King Doom Burst,Effect Monster,FIRE,1600,800,3
Cursed Seal of the Forbidden Spell,Trap Card,,,,
Curtain of the Dark Ones,Normal Monster,DARK,600,500,2
Cutter Shark,Effect Monster,WATER,0,2000,5
Cyber Archfiend,Effect Monster,DARK,1000,2000,4
Cyber Barrier Dragon,Effect Monster,LIGHT,800,2800,6
Cyber Commander,Normal Monster,DARK,750,700,2
Cyber Dinosaur,Effect Monster,LIGHT,2500,1900,7
Cyber Dragon,Effect Monster,LIGHT,2100,1600,5
Cyber Dragon Core,Effect Monster,LIGHT,400,1500,2
Cyber Dragon Drei,Effect Monster,LIGHT,1800,800,4
Cyber Dragon Herz,Effect Monster,LIGHT,100,100,1
Cyber Dragon Nachster,Effect Monster,LIGHT,200,200,1
Cyber Dragon Vier,Effect Monster,LIGHT,1100,1600,4
Cyber Dragon Zwei,Effect Monster,LIGHT,1500,1000,4
Cyber Egg Angel,Effect Monster,LIGHT,200,300,2
Cyber Eltanin,Effect Monster,LIGHT,-1,-1,10
Cyber Emergency,Spell Card,,,,
Cyber Energy Shock,Spell Card,,,,
Cyber Esper,Effect Monster,FIRE,1200,1800,4
Cyber Eternal,Spell Card,,,,
Cyber Falcon,Normal Monster,WIND,1400,1200,4
Cyber Gymnast,Effect Monster,EARTH,800,1800,4
Cyber Harpie Lady,Effect Monster,WIND,1800,1300,4
Cyber Kirin,Effect Monster,LIGHT,300,800,3
Cyber Larva,Effect Monster,LIGHT,400,600,1
Cyber Laser Dragon,Effect Monster,LIGHT,2400,1800,7
Cyber Network,Trap Card,,,,
Cyber Ogre,Effect Monster,EARTH,1900,1200,5
Cyber Ouroboros,Effect Monster,DARK,100,600,2
Cyber Petit Angel,Effect Monster,LIGHT,300,200,2
Cyber Pharos,Effect Monster,LIGHT,0,2100,1
Cyber Phoenix,Effect Monster,FIRE,1200,1600,4
Cyber Prima,Effect Monster,LIGHT,2300,1600,6
Cyber Raider,Effect Monster,DARK,1400,1000,4
Cyber Repair Plant,Spell Card,,,,
Cyber Revsystem,Spell Card,,,,
Cyber Shadow Gardna,Trap Card,,,,
Cyber Shark,Effect Monster,WATER,2100,2000,5
Cyber Shield,Spell Card,,,,
Cyber Soldier,Normal Monster,DARK,1500,1700,5
Cyber Soldier of Darkworld,Normal Monster,DARK,1400,1200,4
Cyber Summon Blaster,Trap Card,,,,
Cyber Tutu,Effect Monster,EARTH,1000,800,3
Cyber Tutubon,Effect Monster,EARTH,1800,1600,5
Cyber Valley,Effect Monster,LIGHT,0,0,1
Cyber-Stein,Effect Monster,DARK,700,500,2
Cyber-Tech Alligator,Normal Monster,WIND,2500,1600,5
Cyberdark Cannon,Effect Monster,DARK,1600,800,3
Cyberdark Chimera,Effect Monster,DARK,800,2100,4
Cyberdark Claw,Effect Monster,DARK,1600,800,3
Cyberdark Edge,Effect Monster,DARK,800,800,4
Cyberdark Horn,Effect Monster,DARK,800,800,4
Cyberdark Impact!,Spell Card,,,,
Cyberdark Inferno,Spell Card,,,,
Cyberdark Invasion,Trap Card,,,,
Cyberdark Keel,Effect Monster,DARK,800,800,4
Cyberdark Realm,Spell Card,,,,
Cyberload Fusion,Spell Card,,,,
Cybernetic Cyclopean,Effect Monster,EARTH,1400,200,4
Cybernetic Fusion Support,Spell Card,,,,
Cybernetic Hidden Technology,Trap Card,,,,
Cybernetic Horizon,Spell Card,,,,
Cybernetic Magician,Effect Monster,LIGHT,2400,1000,6
Cybernetic Overflow,Trap Card,,,,
Cybernetic Revolution,Trap Card,,,,
Cybernetic Zone,Spell Card,,,,
Cybersal Cyclone,Spell Card,,,,
Cyberse Beacon,Trap Card,,,,
Cyberse Converter,Effect Monster,LIGHT,1000,1000,2
Cyberse Gadget,Effect Monster,LIGHT,1400,300,4
Cyberse White Hat,Effect Monster,LIGHT,1800,2400,6
Cyberse Wizard,Effect Monster,LIGHT,1800,800,4
Cyborg Doctor,Effect Monster,EARTH,1500,1700,4
Cyclamen the Rikka Fairy,Effect Monster,WATER,1800,800,4
Cycle of the World,Spell Card,,,,
Cyclon Laser,Spell Card,,,,
Cyclone Blade,Spell Card,,,,
Cyclone Boomerang,Spell Card,,,,
Cycroid,Normal Monster,EARTH,800,1000,3
Cynet Backdoor,Spell Card,,,,
Cynet Cascade,Trap Card,,,,
Cynet Circuit,Trap Card,,,,
Cynet Codec,Spell Card,,,,
Cynet Conflict,Trap Card,,,,
Cynet Crosswipe,Spell Card,,,,
Cynet Fusion,Spell Card,,,,
Cynet Mining,Spell Card,,,,
Cynet Optimization,Spell Card,,,,
Cynet Recovery,Spell Card,,,,
Cynet Refresh,Trap Card,,,,
Cynet Regression,Trap Card,,,,
Cynet Ritual,Spell Card,,,,
Cynet Rollback,Spell Card,,,,
Cynet Storm,Spell Card,,,,
Cynet Universe,Spell Card,,,,
D - Chain,Trap Card,,,,
D - Counter,Trap Card,,,,
D - Force,Spell Card,,,,
D - Formation,Spell Card,,,,
D - Fortune,Trap Card,,,,
D - Shield,Trap Card,,,,
D - Spirit,Spell Card,,,,
D - Tactics,Trap Card,,,,
D - Time,Trap Card,,,,
D Cubed,Effect Monster,DARK,0,0,1
D-Fusion,Trap Card,,,,
D. Human,Normal Monster,EARTH,1300,1100,4
D. Tribe,Trap Card,,,,
D.D. Assailant,Effect Monster,EARTH,1700,1600,4
D.D. Assault Carrier,Effect Monster,DARK,2500,2500,8
D.D. Borderline,Spell Card,,,,
D.D. Crazy Beast,Effect Monster,EARTH,1400,1400,3
D.D. Crow,Effect Monster,DARK,100,100,1
D.D. Designator,Spell Card,,,,
D.D. Destroyer,Effect Monster,EARTH,1000,1000,4
D.D. Dynamite,Trap Card,,,,
D.D. Esper Star Sparrow,Effect Monster,LIGHT,3000,1500,10
D.D. Guide,Effect Monster,DARK,1400,1000,4
D.D. Jet Iron,Effect Monster,LIGHT,4000,0,10
D.D. Patrol Plane,Effect Monster,DARK,1200,800,3
D.D. Scout Plane,Effect Monster,DARK,800,1200,2
D.D. Seeker,Effect Monster,DARK,1500,800,3
D.D. Survivor,Effect Monster,DARK,1800,200,4
D.D. Telepon,Effect Monster,EARTH,500,1800,2
D.D. Trainer,Normal Monster,DARK,100,2000,1
D.D. Trap Hole,Trap Card,,,,
D.D. Unicorn Knight,Effect Monster,LIGHT,1800,900,4
D.D. Warrior,Effect Monster,EARTH,1200,1000,4
D.D. Warrior Lady,Effect Monster,LIGHT,1500,1600,4
D.D.D. - Different Dimension Derby,Trap Card,,,,
D.D.M. - Different Dimension Master,Effect Monster,LIGHT,1700,1500,5
D.D.R. - Different Dimension Reincarnation,Spell Card,,,,
D/D Berfomet,Effect Monster,DARK,1400,1800,4
D/D Lilith,Effect Monster,DARK,100,2100,4
D/D Necro Slime,Effect Monster,DARK,300,300,1
D/D Pandora,Effect Monster,DARK,1700,2100,5
D/D Recruits,Trap Card,,,,
D/D Reroll,Trap Card,,,,
D/D Swirl Slime,Effect Monster,DARK,200,200,2
D/D Vice Typhon,Effect Monster,DARK,2300,2800,7
D/D/D Contract Change,Trap Card,,,,
D/D/D Dragon King Pendragon,Effect Monster,DARK,2600,2400,7
D/D/D Headhunt,Trap Card,,,,
D/D/D Human Resources,Trap Card,,,,
D/D/D Supreme King Kaiser,Effect Monster,DARK,2800,2100,7
D2 Shield,Trap Card,,,,
Dai Dance,Trap Card,,,,
Dai-sojo of the Ice Barrier,Effect Monster,WATER,1600,2200,6
Daidara-Bocchi,Effect Monster,EARTH,2900,2500,10
Damage = Reptile,Trap Card,,,,
Damage Condenser,Trap Card,,,,
Damage Diet,Trap Card,,,,
Damage Eater,Effect Monster,DARK,100,800,2
Damage Gate,Trap Card,,,,
Damage Mage,Effect Monster,DARK,600,1200,3
Damage Polarizer,Trap Card,,,,
Damage Translation,Trap Card,,,,
Damage Vaccine Omega MAX,Trap Card,,,,
Dance Princess of the Ice Barrier,Effect Monster,WATER,1700,900,4
Dance Princess of the Nekroz,Effect Monster,WATER,1600,800,4
Dances with Beasts,Trap Card,,,,
Dancing Elf,Normal Monster,WIND,300,200,1
Dancing Fairy,Effect Monster,WIND,1700,1000,4
Dandy Whitelion,Effect Monster,EARTH,300,300,3
Dandylion,Effect Monster,EARTH,300,300,3
Danger! Bigfoot!,Effect Monster,DARK,3000,0,8
Danger! Chupacabra!,Effect Monster,DARK,1500,400,4
Danger! Disturbance! Disorder!,Spell Card,,,,
Danger! Dogman!,Effect Monster,DARK,2400,1000,7
Danger! Excitement! Mystery!,Spell Card,,,,
Danger! Feets of Strength!,Spell Card,,,,
Danger! Mothman!,Effect Monster,DARK,1800,400,4
Danger! Nessie!,Effect Monster,DARK,1600,2800,7
Danger! Ogopogo!,Effect Monster,DARK,1200,3000,8
Danger! Response Team,Spell Card,,,,
Danger! Thunderbird!,Effect Monster,DARK,2800,2400,8
Danger! Zone,Trap Card,,,,
Danger!? Jackalope?,Effect Monster,DARK,500,2000,3
Danger!? Tsuchinoko?,Effect Monster,DARK,1300,0,3
Dangerous Machine Type-6,Spell Card,,,,
Danipon,Effect Monster,EARTH,600,600,2
Danmari @Ignister,Effect Monster,DARK,2300,0,6
Dark Advance,Trap Card,,,,
Dark Alligator,Effect Monster,DARK,2500,2300,8
Dark Angel,Effect Monster,DARK,0,0,5
Dark Armed Dragon,Effect Monster,DARK,2800,1000,7
Dark Artist,Effect Monster,DARK,600,1400,3
Dark Assailant,Normal Monster,DARK,1200,1200,4
Dark Bat,Normal Monster,WIND,1000,1000,3
Dark Beckoning Beast,Effect Monster,DARK,0,0,2
Dark Blade,Normal Monster,DARK,1800,1500,4
Dark Blade the Captain of the Evil World,Effect Monster,DARK,1800,1500,4
Dark Bribe,Trap Card,,,,
Dark Bug,Effect Monster,DARK,100,100,1
Dark Burning Attack,Spell Card,,,,
Dark Burning Magic,Spell Card,,,,
Dark Calling,Spell Card,,,,
Dark Catapulter,Effect Monster,EARTH,1000,1500,4
Dark Chimera,Normal Monster,DARK,1610,1460,5
Dark City,Spell Card,,,,
Dark Coffin,Trap Card,,,,
Dark Contact,Spell Card,,,,
Dark Contract with Errors,Trap Card,,,,
Dark Contract with Patent License,Spell Card,,,,
Dark Contract with the Entities,Spell Card,,,,
Dark Contract with the Eternal Darkness,Trap Card,,,,
Dark Contract with the Gate,Spell Card,,,,
Dark Contract with the Swamp King,Spell Card,,,,
Dark Contract with the Witch,Trap Card,,,,
Dark Contract with the Yamimakai,Spell Card,,,,
Dark Core,Spell Card,,,,
Dark Corridor,Spell Card,,,,
Dark Crusader,Effect Monster,DARK,1600,200,4
Dark Cure,Trap Card,,,,
Dark Deal,Trap Card,,,,
Dark Desertapir,Effect Monster,EARTH,1100,300,2
Dark Designator,Spell Card,,,,
Dark Dragon Ritual,Spell Card,,,,
Dark Driceratops,Effect Monster,EARTH,2400,1500,6
Dark Effigy,Effect Monster,DARK,1500,0,4
Dark Element,Spell Card,,,,
Dark Elf,Effect Monster,DARK,2000,800,4
Dark End Evaporation Dragon,Effect Monster,DARK,2600,2100,8
Dark Energy,Spell Card,,,,
Dark Eradicator Warlock,Effect Monster,DARK,2500,2100,7
Dark Eruption,Spell Card,,,,
Dark Eye Nightmare,Effect Monster,DARK,1700,1700,4
Dark Factory of Mass Production,Spell Card,,,,
Dark Factory of More Production,Trap Card,,,,
Dark Fusion,Spell Card,,,,
Dark Garnex the Cubic Beast,Effect Monster,EARTH,0,0,2
Dark General Freed,Effect Monster,DARK,2300,1700,5
Dark Gray,Normal Monster,EARTH,800,900,3
Dark Grepher,Effect Monster,DARK,1700,1600,4
Dark Guardian,Effect Monster,DARK,3800,3800,12
Dark Hole,Spell Card,,,,
Dark Hole Dragon,Effect Monster,DARK,3000,2000,8
Dark Honest,Effect Monster,DARK,1100,1900,4
Dark Horizon,Trap Card,,,,
Dark Horus,Effect Monster,DARK,3000,1800,8
Dark Hunter,Effect Monster,DARK,1600,400,4
Dark Illusion,Trap Card,,,,
Dark Jeroid,Effect Monster,DARK,1200,1500,4
Dark King of the Abyss,Normal Monster,DARK,1200,800,3
Dark Lucius LV4,Effect Monster,EARTH,1000,300,4
Dark Lucius LV6,Effect Monster,EARTH,1700,600,6
Dark Lucius LV8,Effect Monster,EARTH,2800,900,8
Dark Magic Attack,Spell Card,,,,
Dark Magic Curtain,Spell Card,,,,
Dark Magic Expanded,Spell Card,,,,
Dark Magic Inheritance,Spell Card,,,,
Dark Magic Mirror Force,Trap Card,,,,
Dark Magic Twin Burst,Spell Card,,,,
Dark Magic Veil,Spell Card,,,,
Dark Magical Circle,Spell Card,,,,
Dark Magician,Normal Monster,DARK,2500,2100,7
Dark Magician Girl,Effect Monster,DARK,2000,1700,6
Dark Magician Knight,Effect Monster,DARK,2500,2100,7
Dark Magician of Chaos,Effect Monster,DARK,2800,2600,8
Dark Magician the Magician of Black Magic,Effect Monster,DARK,2500,2100,7
Dark Mambele,Spell Card,,,,
Dark Mimic LV3,Effect Monster,DARK,1000,1000,3
Dark Mirror Force,Trap Card,,,,
Dark Necrofear,Effect Monster,DARK,2200,2800,8
Dark Nephthys,Effect Monster,DARK,2400,1600,8
Dark Plant,Normal Monster,DARK,300,400,1
Dark Prisoner,Normal Monster,DARK,600,1000,3
Dark Rabbit,Normal Monster,DARK,1100,1500,4
Dark Red Enchanter,Effect Monster,DARK,1700,2200,6
Dark Renewal,Trap Card,,,,
Dark Room of Nightmare,Spell Card,,,,
Dark Rose Fairy,Effect Monster,DARK,800,1000,2
Dark Ruler Ha Des,Effect Monster,DARK,2450,1600,6
Dark Ruler No More,Spell Card,,,,
Dark Sacrifice,Trap Card,,,,
Dark Sage,Effect Monster,DARK,2800,3200,9
Dark Sanctuary,Spell Card,,,,
Dark Scheme,Trap Card,,,,
Dark Scorpion - Chick the Yellow,Effect Monster,DARK,1000,1000,3
Dark Scorpion - Cliff the Trap Remover,Effect Monster,DARK,1200,1000,3
Dark Scorpion - Gorg the Strong,Effect Monster,DARK,1800,1500,5
Dark Scorpion - Meanae the Thorn,Effect Monster,DARK,1000,1800,4
Dark Scorpion Burglars,Effect Monster,DARK,1000,1000,4
Dark Scorpion Combination,Trap Card,,,,
Dark Sea Serpent - Dryagle,Effect Monster,WATER,2100,3100,10
Dark Shade,Normal Monster,WIND,1000,1000,3
Dark Simorgh,Effect Monster,DARK,2700,1000,7
Dark Smog,Trap Card,,,,
Dark Snake Syndrome,Spell Card,,,,
Dark Spell Regeneration,Trap Card,,,,
Dark Spider,Effect Monster,DARK,0,0,1
Dark Spirit Art - Greed,Trap Card,,,,
Dark Spirit of Banishment,Effect Monster,DARK,1600,0,3
Dark Spirit of Malice,Effect Monster,DARK,1600,0,3
Dark Spirit of the Silent,Trap Card,,,,
Dark Spirit's Mastery,Spell Card,,,,
Dark Summoning Beast,Effect Monster,DARK,0,0,5
Dark Supremacy,Trap Card,,,,
Dark Titan of Terror,Normal Monster,DARK,1300,1100,4
Dark Verger,Effect Monster,EARTH,0,1000,2
Dark Voltanis,Effect Monster,DARK,2800,1400,8
Dark Witch,Normal Monster,LIGHT,1800,1700,5
Dark World Accession,Spell Card,,,,
Dark World Archives,Spell Card,,,,
Dark World Brainwashing,Trap Card,,,,
Dark World Dealings,Spell Card,,,,
Dark World Grimoire,Spell Card,,,,
Dark World Lightning,Spell Card,,,,
Dark World Punishment,Trap Card,,,,
Dark World Puppetry,Spell Card,,,,
Dark Zebra,Effect Monster,EARTH,1800,400,4
Dark-Piercing Light,Spell Card,,,,
Darkbishop Archfiend,Effect Monster,WATER,300,1400,3
Darkblaze Dragon,Effect Monster,FIRE,1200,1000,7
"Darkest Diabolos, Lord of the Lair",Effect Monster,DARK,3000,2000,8
Darkfall,Trap Card,,,,
Darkfire Soldier #1,Normal Monster,FIRE,1700,1150,4
Darkfire Soldier #2,Normal Monster,FIRE,1700,1100,4
Darkflare Dragon,Effect Monster,DARK,2400,1200,5
Darklight,Trap Card,,,,
Darklon,Effect Monster,DARK,100,100,1
Darklord Amdusc,Effect Monster,DARK,1800,2800,6
Darklord Asmodeus,Effect Monster,DARK,3000,2500,8
Darklord Contact,Spell Card,,,,
Darklord Descent,Trap Card,,,,
Darklord Desire,Effect Monster,DARK,3000,2800,10
Darklord Edeh Arae,Effect Monster,DARK,2300,2000,5
Darklord Enchantment,Trap Card,,,,
Darklord Ixchel,Effect Monster,DARK,2500,2900,10
Darklord Marie,Effect Monster,DARK,1700,1200,5
Darklord Morningstar,Effect Monster,DARK,3000,3000,11
Darklord Nasten,Effect Monster,DARK,2600,2600,7
Darklord Nergal,Effect Monster,DARK,2700,2500,8
Darklord Nurse Reficule,Effect Monster,DARK,1400,600,4
Darklord Rebellion,Trap Card,,,,
Darklord Superbia,Effect Monster,DARK,2900,2400,8
Darklord Tezcatlipoca,Effect Monster,DARK,2800,2100,9
Darklord Ukoback,Effect Monster,DARK,700,1000,3
Darklord Uprising,Trap Card,,,,
Darklord Zerato,Effect Monster,DARK,2800,2300,8
Darkness Approaches,Spell Card,,,,
Darkness Destroyer,Effect Monster,DARK,2300,1800,7
Darkness Neosphere,Effect Monster,DARK,4000,4000,10
Darknight Parshath,Effect Monster,DARK,1900,1400,5
Darksea Float,Effect Monster,DARK,0,300,1
Darksea Rescue,Effect Monster,DARK,0,0,1
Darkworld Shackles,Spell Card,,,,
Darkworld Thorns,Normal Monster,EARTH,1200,900,3
Darton the Mechanical Monstrosity,Effect Monster,DARK,-1,0,1
Daruma Dropper,Effect Monster,EARTH,700,1800,4
Dash Warrior,Effect Monster,WIND,600,1200,3
Datacorn,Effect Monster,DARK,0,0,1
Dawn Knight,Effect Monster,LIGHT,1400,1200,4
Dawn of the Herald,Spell Card,,,,
Daybreaker,Effect Monster,LIGHT,1700,0,4
De-Fusion,Spell Card,,,,
De-Spell,Spell Card,,,,
De-Synchro,Spell Card,,,,
Deal of Phantom,Trap Card,,,,
Dealer's Choice,Trap Card,,,,
Debunk,Trap Card,,,,
Decayed Commander,Effect Monster,EARTH,1000,1500,4
Deception of the Sinful Spoils,Spell Card,,,,
Decisive Battle of Golgonda,Spell Card,,,,
Deck Devastation Virus,Trap Card,,,,
Deck Lockdown,Spell Card,,,,
Decode Destruction,Spell Card,,,,
Decoy Dragon,Effect Monster,FIRE,300,200,2
Decoyroid,Effect Monster,WIND,300,500,2
Dedication through Light and Darkness,Spell Card,,,,
Deep Dark Trap Hole,Trap Card,,,,
Deep Diver,Effect Monster,WATER,1000,1100,3
Deep Sea Aria,Spell Card,,,,
Deep Sea Artisan,Effect Monster,WATER,0,500,1
Deep Sea Sentry,Effect Monster,WATER,400,2000,2
Deep Sweeper,Effect Monster,WATER,1600,1300,4
Deep-Eyes White Dragon,Effect Monster,LIGHT,0,0,10
Deep-Space Cruiser IX,Effect Monster,LIGHT,900,900,9
Deepsea Macrotrema,Effect Monster,WATER,600,100,1
Deepsea Warrior,Effect Monster,WATER,1600,1800,5
Defcon Bird,Effect Monster,WIND,100,1700,3
Defect Compiler,Effect Monster,LIGHT,1000,1000,3
Defender of Nephthys,Effect Monster,WIND,1400,200,2
"Defender, the Magical Knight",Effect Monster,LIGHT,1600,2000,4
Defenders Intersect,Trap Card,,,,
Defense Draw,Trap Card,,,,
Defense Zone,Spell Card,,,,
Defensive Tactics,Trap Card,,,,
Defrag Dragon,Effect Monster,DARK,1000,600,3
Degen-Force,Trap Card,,,,
Degenerate Circuit,Spell Card,,,,
Degrade Buster,Effect Monster,FIRE,2500,2500,7
Delg the Dark Monarch,Effect Monster,DARK,2400,1000,6
Delinquent Duo,Spell Card,,,,
Delta Attacker,Spell Card,,,,
Delta Crow - Anti Reverse,Trap Card,,,,
Delta of Temptation,Spell Card,,,,
Delta The Magnet Warrior,Effect Monster,EARTH,1600,1400,4
Delta Tri,Effect Monster,LIGHT,1200,1000,4
Demigod of the Tistina,Effect Monster,LIGHT,2000,0,10
Demise of the Land,Spell Card,,,,
Demotion,Spell Card,,,,
Denko Sekka,Effect Monster,LIGHT,1700,1000,4
Depresspard,Effect Monster,LIGHT,100,100,2
Depth Amulet,Trap Card,,,,
Depth Shark,Effect Monster,WATER,1400,0,5
Des Counterblow,Trap Card,,,,
Des Croaking,Spell Card,,,,
Des Frog,Effect Monster,WATER,1900,0,5
Des Kangaroo,Effect Monster,DARK,1500,1700,4
Des Lacooda,Effect Monster,EARTH,500,600,3
Des Mosquito,Effect Monster,DARK,500,500,3
Des Volstgalph,Effect Monster,EARTH,2200,1700,6
Des Wombat,Effect Monster,EARTH,1600,300,3
Descending Lost Star,Trap Card,,,,
Desert Protector,Effect Monster,EARTH,800,1000,4
Desert Sunlight,Trap Card,,,,
Desert Twister,Effect Monster,WIND,2300,2000,6
Designer Frightfur,Trap Card,,,,
Deskbot 002,Effect Monster,EARTH,500,500,2
Deskbot 003,Effect Monster,EARTH,500,500,3
Deskbot 004,Effect Monster,EARTH,500,500,4
Deskbot 009,Effect Monster,EARTH,500,500,9
Deskbot Base,Spell Card,,,,
Desmanian Devil,Effect Monster,EARTH,1700,1400,4
Despair from the Dark,Effect Monster,DARK,2800,3000,8
Desperado Barrel Dragon,Effect Monster,DARK,2800,2200,8
Desperate Tag,Trap Card,,,,
"Despia, Theater of the Branded",Spell Card,,,,
Despian Comedy,Effect Monster,DARK,0,2000,1
Despian Tragedy,Effect Monster,DARK,400,400,1
Desrook Archfiend,Effect Monster,LIGHT,1100,1800,3
Destined Rivals,Trap Card,,,,
Destiny Board,Trap Card,,,,
Destiny Draw,Spell Card,,,,
Destiny HERO - Blade Master,Effect Monster,DARK,300,600,3
Destiny HERO - Captain Tenacious,Effect Monster,DARK,800,800,3
Destiny HERO - Celestial,Effect Monster,DARK,1600,1400,4
Destiny HERO - Dark Angel,Effect Monster,DARK,0,0,1
Destiny HERO - Dasher,Effect Monster,DARK,2100,1000,6
Destiny HERO - Decider,Effect Monster,DARK,1600,1000,4
Destiny HERO - Defender,Effect Monster,DARK,100,2700,4
Destiny HERO - Denier,Effect Monster,DARK,1100,600,3
Destiny HERO - Departed,Effect Monster,DARK,1000,0,2
Destiny HERO - Diamond Dude,Effect Monster,DARK,1400,1600,4
Destiny HERO - Disk Commander,Effect Monster,DARK,300,300,1
Destiny HERO - Dogma,Effect Monster,DARK,3400,2400,8
Destiny HERO - Doom Lord,Effect Monster,DARK,600,800,3
Destiny HERO - Double Dude,Effect Monster,DARK,1000,1000,6
Destiny HERO - Drawhand,Effect Monster,DARK,1600,800,4
Destiny HERO - Dread Servant,Effect Monster,DARK,400,700,3
Destiny HERO - Dreadmaster,Effect Monster,DARK,-1,-1,8
Destiny HERO - Dreamer,Effect Monster,DARK,0,600,1
Destiny HERO - Drilldark,Effect Monster,DARK,1600,1200,4
Destiny HERO - Dunker,Effect Monster,DARK,1200,1700,4
Destiny HERO - Dynatag,Effect Monster,DARK,1000,1000,5
Destiny HERO - Fear Monger,Effect Monster,DARK,1000,1000,4
Destiny HERO - Malicious,Effect Monster,DARK,800,800,6
Destiny HERO - Plasma,Effect Monster,DARK,1900,600,8
Destiny Mirage,Trap Card,,,,
Destiny Signal,Trap Card,,,,
Destroyer Golem,Normal Monster,EARTH,1500,1000,4
Destroyersaurus,Effect Monster,EARTH,1800,1100,4
Destruct Potion,Trap Card,,,,
Destruction Cyclone,Effect Monster,WIND,2000,1500,7
Destruction Jammer,Trap Card,,,,
Destruction of Destiny,Trap Card,,,,
Destruction Punch,Trap Card,,,,
Destruction Ring,Trap Card,,,,
Destruction Sword Flash,Trap Card,,,,
Destruction Sword Memories,Trap Card,,,,
Destruction Swordsman Fusion,Spell Card,,,,
Destructive Daruma Karma Cannon,Trap Card,,,,
Destructive Draw,Trap Card,,,,
Destructotron,Effect Monster,EARTH,1600,400,4
Detonate,Spell Card,,,,
Detonating Kuriboh,Effect Monster,DARK,300,200,1
Detonation Code,Trap Card,,,,
"Detonator Circle ""A""",Trap Card,,,,
Deus X-Krawler,Effect Monster,EARTH,2000,3000,9
Devouring Sarcoughagus,Effect Monster,DARK,0,0,4
Dharma Cannon,Normal Monster,DARK,900,500,2
Diabellstar the Black Witch,Effect Monster,DARK,2500,2000,7
Diabellze the Original Sinkeeper,Effect Monster,LIGHT,2500,2000,7
Diabolica the Draconique General,Effect Monster,DARK,2300,0,8
"Diabolos, King of the Abyss",Effect Monster,DARK,2800,1000,7
Diabound Kernel,Effect Monster,DARK,1800,1200,5
Diamond Core of Koa'ki Meiru,Spell Card,,,,
Diamond Dust,Trap Card,,,,
Diamond Duston,Trap Card,,,,
Diamond-Dust Cyclone,Spell Card,,,,
Dian Keto the Cure Master,Spell Card,,,,
Diana the Light Spirit,Effect Monster,LIGHT,1700,1000,4
Dice Armadillo,Normal Monster,EARTH,1650,1800,5
Dice Dungeon,Spell Card,,,,
Dice It,Trap Card,,,,
Dice Re-Roll,Trap Card,,,,
Dice Roll Battle,Trap Card,,,,
Dice Try!,Trap Card,,,,
Dice-nied,Trap Card,,,,
Diced Dice,Spell Card,,,,
Dicelops,Effect Monster,FIRE,1800,200,4
Dicephoon,Spell Card,,,,
Diceversity,Trap Card,,,,
Dictator of D.,Effect Monster,DARK,1200,1100,4
Different Dimension Capsule,Spell Card,,,,
Different Dimension Deepsea Trench,Spell Card,,,,
Different Dimension Dragon,Effect Monster,LIGHT,1200,1500,5
Different Dimension Encounter,Trap Card,,,,
Different Dimension Gate,Spell Card,,,,
Different Dimension Ground,Trap Card,,,,
Diffusion Wave-Motion,Spell Card,,,,
Dig Beak,Normal Monster,EARTH,500,800,2
Dig of Destiny,Trap Card,,,,
Digit Jamming,Spell Card,,,,
Digital Bug Centibit,Effect Monster,LIGHT,1500,500,3
Digital Bug Cocoondenser,Effect Monster,LIGHT,0,2000,3
Digital Bug LEDybug,Effect Monster,LIGHT,500,0,3
Digital Bug Registrider,Effect Monster,LIGHT,1000,1000,3
Digital Bug Websolder,Effect Monster,LIGHT,500,1500,3
Digitron,Normal Monster,EARTH,1500,0,2
Dimension Conjurer,Effect Monster,DARK,500,500,1
Dimension Dice,Spell Card,,,,
Dimension Distortion,Spell Card,,,,
Dimension Explosion,Spell Card,,,,
Dimension Fortress Weapon,Effect Monster,DARK,1700,200,4
Dimension Fusion,Spell Card,,,,
Dimension Fusion Destruction,Spell Card,,,,
Dimension Gate,Trap Card,,,,
Dimension Guardian,Trap Card,,,,
Dimension Mirage,Trap Card,,,,
